id,name,city,state,postal,category
147,Black & Latino Achievers,Greensboro,NC,27401,Civic
148,Tristan's Quest,Greensboro,NC,27409,Non-Profit
149,TRU Youth Advisory Board,Greensboro,NC,27405,Government
150,Teen Grantmqking Council of the Community Foundation of Greater Greensboro,Greensboro,NC,27401,Non-Profit
151,OCSL Alternative Break Club,Hattiesburg,MS,39406,Civic
152,Lycoming College,Williamsport,PA,17701,Education
153,Northwest Guilford High School,High Point,NC,27409,Education
154,City of High Point Human Relations,High Point,NC,27261,Government
155,High Point Parks & Recreation,High Point,NC,27262,Government
156,Polk Gives,Lake Alfred,FL,33850,Non-Profit
157,Genesis Baptist Church,Greensboro,NC,27405,Non-Profit
158,The International Civil Rights Center & Museum,Greensboro,NC,27401,Non-Profit
159,My COmmunity,Los Angeles,CA,90210,Civic
160,Northeast High School,Mcleansville,NC,27310,Education
161,Guilford County Animal Shelter,Greensboro,NC,27409,Non-Profit
162,Generous Garden Project,Greenville,SC,29607,Non-Profit
163,Boy Scout Troop 441,Greensboro,NC,27403,Non-Profit
164,School Supplies for Belize,Jamestown,NC,27282,Education
165,Diamonds in the Rough,Snellville,GA,30078,Non-Profit
166,St. Mary's Catholic Church,Greensboro,NC,27401,Non-Profit
167,Saint Mary's Catholic Church,Greensboro,NC,27401,Non-Profit
168,Western Guilford Volleyball,Greensboror,NC,27410,Civic
169,Seattle University Youth Initiative,Seattle,WA,98122,Non-Profit
170,Students For Justice in Palestine,Boca Raton,FL,33431,Civic
171,George W. Jenkins Senior High,LAKELAND,FL,33813,Education
172,Tenoroc High School,Lakeland,FL,33801,Education
173,Lake Gibson Senior High School,LAKELAND,FL,33809,Education
174,EL KAU KAU KONER,Lakeland,FL,33801,For-Profit
175,AAA air conditioning,auburndale,FL,33823,For-Profit
176,Famliy Fun Center,Lakeland,FL,33811,For-Profit
177,Adams Floral Shop,Lakeland,FL,33803,For-Profit
178,Holy Name Of Jesus School,INDIALANTIC,FL,32903,Education
179,Wings of Eagles International Outreach Center of Central Florida,Lakeland,FL,33809,Non-Profit
180,Steak n' Shake,Lakeland,FL,33813,For-Profit
181,Haines City Senior High School,HAINES CITY,FL,33844,Education
182,"Healthy Start Coalition of Hardee, Highlands & Polk Counties, Inc",Bartow,FL,33830,Non-Profit
183,Pop Some Culture,Lakeland,FL,33813,For-Profit
184,Guardian Ad Litem,Lake City,FL,32055,Non-Profit
185,"ElderCare of Alachua County, Inc.",Gainesville,FL,32608,Non-Profit
186,University Of North Florida,Jacksonville,FL,32224,Education
187,Off The Wall Adventures,Lakeland,FL,33811,For-Profit
188,Child Advocacy Center,Gainesville,FL,32602,Non-Profit
189,William T. Dwyer High School - Academy of Finance,PALM BEACH GARDENS,FL,33418,Education
190,american insurance center of bartow,bartow,FL,33830,For-Profit
191,Lakeland Senior High School,LAKELAND,FL,33803,Education
192,The Barn Antiques,Lake Alfred,FL,33850,For-Profit
193,Miami Dade College,Miami,FL,33132,Education
194,TruLine Construction Services,Lakeland,FL,33809,For-Profit
195,Texas Campus Compact,Austin,TX,78701,Non-Profit
196,JC Penny,Lake Wales,FL,33859,For-Profit
197,Publix,lakeland,FL,33813,For-Profit
198,Trent Miller,babson park,FL,33827,For-Profit
199,Tobacco Free Lee,Fort Myers,FL,33916,Non-Profit
200,Mulberry High School Key Club,Mulberry,FL,33860,Civic
